Switchingtimes,FinalTime,IPTGpre,aTcpre,IPTG,aTc
0,720.066666666667,1,0,0,50
5.05,720.066666666667,1,0,0,50
10.05,720.066666666667,1,0,0,50
15.05,720.066666666667,1,0,0,50
20.05,720.066666666667,1,0,0,50
25.05,720.066666666667,1,0,0,50
30.05,720.066666666667,1,0,0,50
35.05,720.066666666667,1,0,0,50
40.0666666666667,720.066666666667,1,0,0,50
45.05,720.066666666667,1,0,0,50
50.05,720.066666666667,1,0,0,50
55.05,720.066666666667,1,0,0,50
60.05,720.066666666667,1,0,0,50
65.05,720.066666666667,1,0,0,50
70.05,720.066666666667,1,0,0,50
75.05,720.066666666667,1,0,0,50
80.0666666666667,720.066666666667,1,0,0,50
85.05,720.066666666667,1,0,0,50
90.05,720.066666666667,1,0,0.5,50
95.05,720.066666666667,1,0,0,0
100.05,720.066666666667,1,0,0,0
105.05,720.066666666667,1,0,0,0
110.05,720.066666666667,1,0,0,0
115.05,720.066666666667,1,0,0,0
120.05,720.066666666667,1,0,0,0
125.05,720.066666666667,1,0,0,0
130.05,720.066666666667,1,0,0,0
135.05,720.066666666667,1,0,0,0
140.05,720.066666666667,1,0,0,0
145.05,720.066666666667,1,0,0,0
150.05,720.066666666667,1,0,0,0
155.05,720.066666666667,1,0,0,0
160.05,720.066666666667,1,0,0,0
165.05,720.066666666667,1,0,0,0
170.05,720.066666666667,1,0,0,0
175.05,720.066666666667,1,0,0,0
180.05,720.066666666667,1,0,0,0
185.05,720.066666666667,1,0,0,0
190.05,720.066666666667,1,0,0,0
195.05,720.066666666667,1,0,0,0
200.066666666667,720.066666666667,1,0,0,50
205.05,720.066666666667,1,0,0,0
210.05,720.066666666667,1,0,0,50
215.05,720.066666666667,1,0,0,50
220.05,720.066666666667,1,0,0,50
225.05,720.066666666667,1,0,0,50
230.05,720.066666666667,1,0,0,50
235.05,720.066666666667,1,0,0,50
240.05,720.066666666667,1,0,0,50
245.05,720.066666666667,1,0,0,50
250.05,720.066666666667,1,0,0,50
255.05,720.066666666667,1,0,0,50
260.05,720.066666666667,1,0,0,0
265.05,720.066666666667,1,0,0,0
270.05,720.066666666667,1,0,0.5,50
275.05,720.066666666667,1,0,0,0
280.05,720.066666666667,1,0,0,0
285.05,720.066666666667,1,0,0.5,0
290.066666666667,720.066666666667,1,0,0.5,0
295.05,720.066666666667,1,0,0,0
300.05,720.066666666667,1,0,0,0
305.05,720.066666666667,1,0,0,0
310.05,720.066666666667,1,0,0.5,0
315.05,720.066666666667,1,0,0.5,0
320.066666666667,720.066666666667,1,0,0,0
325.05,720.066666666667,1,0,0.5,0
330.05,720.066666666667,1,0,0,0
335.05,720.066666666667,1,0,0.5,0
340.05,720.066666666667,1,0,0,0
345.05,720.066666666667,1,0,0.5,0
350.05,720.066666666667,1,0,0.5,0
355.05,720.066666666667,1,0,0.5,0
360.05,720.066666666667,1,0,0,0
365.05,720.066666666667,1,0,0,0
370.05,720.066666666667,1,0,0,0
375.05,720.066666666667,1,0,0,0
380.05,720.066666666667,1,0,0.5,0
385.05,720.066666666667,1,0,0,0
390.05,720.066666666667,1,0,0,0
395.05,720.066666666667,1,0,0,0
400.05,720.066666666667,1,0,0,0
405.05,720.066666666667,1,0,0,0
410.05,720.066666666667,1,0,0.5,50
415.05,720.066666666667,1,0,0,0
420.05,720.066666666667,1,0,0,50
425.05,720.066666666667,1,0,0,50
430.05,720.066666666667,1,0,0,50
435.05,720.066666666667,1,0,0,50
440.05,720.066666666667,1,0,0,50
445.05,720.066666666667,1,0,0,50
450.05,720.066666666667,1,0,0,50
455.05,720.066666666667,1,0,0,50
460.05,720.066666666667,1,0,0,50
465.05,720.066666666667,1,0,0,0
470.05,720.066666666667,1,0,0,0
475.05,720.066666666667,1,0,0,0
480.05,720.066666666667,1,0,0.5,0
485.05,720.066666666667,1,0,0,0
490.05,720.066666666667,1,0,0,0
495.05,720.066666666667,1,0,0,0
500.05,720.066666666667,1,0,0.5,0
505.05,720.066666666667,1,0,0.5,0
510.05,720.066666666667,1,0,0,0
515.05,720.066666666667,1,0,0.5,0
520.05,720.066666666667,1,0,0.5,0
525.05,720.066666666667,1,0,0.5,0
530.05,720.066666666667,1,0,0,0
535.05,720.066666666667,1,0,0,0
540.05,720.066666666667,1,0,0,0
545.05,720.066666666667,1,0,0,0
550.05,720.066666666667,1,0,0,0
555.05,720.066666666667,1,0,0,0
560.05,720.066666666667,1,0,0.5,0
565.05,720.066666666667,1,0,0,0
570.05,720.066666666667,1,0,0,0
575.05,720.066666666667,1,0,0,0
580.05,720.066666666667,1,0,0,0
585.05,720.066666666667,1,0,0,0
590.05,720.066666666667,1,0,0,0
595.066666666667,720.066666666667,1,0,0,0
600.05,720.066666666667,1,0,0,0
605.05,720.066666666667,1,0,0,0
610.05,720.066666666667,1,0,0,0
615.05,720.066666666667,1,0,0,50
620.05,720.066666666667,1,0,0,50
625.05,720.066666666667,1,0,0,50
630.05,720.066666666667,1,0,0,50
635.05,720.066666666667,1,0,0,50
640.05,720.066666666667,1,0,0,50
645.05,720.066666666667,1,0,0,50
650.05,720.066666666667,1,0,0,50
655.05,720.066666666667,1,0,0,50
660.05,720.066666666667,1,0,0,50
665.05,720.066666666667,1,0,0,50
670.05,720.066666666667,1,0,0,0
675.05,720.066666666667,1,0,0,0
680.05,720.066666666667,1,0,0,0
685.05,720.066666666667,1,0,0,0
690.05,720.066666666667,1,0,0.5,0
695.05,720.066666666667,1,0,0,0
700.05,720.066666666667,1,0,0,0
705.05,720.066666666667,1,0,0,0
710.05,720.066666666667,1,0,0.5,0
715.05,720.066666666667,1,0,0,0
