time,IPTGpre,aTcpre,IPTG,aTc
0,1,0,0,50
1,1,0,0,50
2,1,0,0,50
3,1,0,0,50
4,1,0,0,50
5,1,0,0,50
6,1,0,0,50
7,1,0,0,50
8,1,0,0,50
9,1,0,0,50
10,1,0,0,50
11,1,0,0,50
12,1,0,0,50
13,1,0,0,50
14,1,0,0,50
15,1,0,0,50
16,1,0,0,50
17,1,0,0,50
18,1,0,0,50
19,1,0,0,50
20,1,0,0,50
21,1,0,0,50
22,1,0,0,50
23,1,0,0,50
24,1,0,0,50
25,1,0,0,50
26,1,0,0,50
27,1,0,0,50
28,1,0,0,50
29,1,0,0,50
30,1,0,0,50
31,1,0,0,50
32,1,0,0,50
33,1,0,0,50
34,1,0,0,50
35,1,0,0,50
36,1,0,0,50
37,1,0,0,50
38,1,0,0,50
39,1,0,0,50
40,1,0,0,50
41,1,0,0,50
42,1,0,0,50
43,1,0,0,50
44,1,0,0,50
45,1,0,0,50
46,1,0,0,50
47,1,0,0,50
48,1,0,0,50
49,1,0,0,50
50,1,0,0,50
51,1,0,0,50
52,1,0,0,50
53,1,0,0,50
54,1,0,0,50
55,1,0,0,50
56,1,0,0,50
57,1,0,0,50
58,1,0,0,50
59,1,0,0,50
60,1,0,0,50
61,1,0,0,50
62,1,0,0,50
63,1,0,0,50
64,1,0,0,50
65,1,0,0,50
66,1,0,0,50
67,1,0,0,50
68,1,0,0,50
69,1,0,0,50
70,1,0,0,50
71,1,0,0,50
72,1,0,0,50
73,1,0,0,50
74,1,0,0,50
75,1,0,0,50
76,1,0,0,50
77,1,0,0,50
78,1,0,0,50
79,1,0,0,50
80,1,0,0,50
81,1,0,0,50
82,1,0,0,50
83,1,0,0,50
84,1,0,0,50
85,1,0,0,50
86,1,0,0,50
87,1,0,0,50
88,1,0,0,50
89,1,0,0.5,50
90,1,0,0.5,50
91,1,0,0.5,50
92,1,0,0.5,50
93,1,0,0.5,50
94,1,0,0,0
95,1,0,0,0
96,1,0,0,0
97,1,0,0,0
98,1,0,0,0
99,1,0,0,0
100,1,0,0,0
101,1,0,0,0
102,1,0,0,0
103,1,0,0,0
104,1,0,0,0
105,1,0,0,0
106,1,0,0,0
107,1,0,0,0
108,1,0,0,0
109,1,0,0,0
110,1,0,0,0
111,1,0,0,0
112,1,0,0,0
113,1,0,0,0
114,1,0,0,0
115,1,0,0,0
116,1,0,0,0
117,1,0,0,0
118,1,0,0,0
119,1,0,0,0
120,1,0,0,0
121,1,0,0,0
122,1,0,0,0
123,1,0,0,0
124,1,0,0,0
125,1,0,0,0
126,1,0,0,0
127,1,0,0,0
128,1,0,0,0
129,1,0,0,0
130,1,0,0,0
131,1,0,0,0
132,1,0,0,0
133,1,0,0,0
134,1,0,0,0
135,1,0,0,0
136,1,0,0,0
137,1,0,0,0
138,1,0,0,0
139,1,0,0,0
140,1,0,0,0
141,1,0,0,0
142,1,0,0,0
143,1,0,0,0
144,1,0,0,0
145,1,0,0,0
146,1,0,0,0
147,1,0,0,0
148,1,0,0,0
149,1,0,0,0
150,1,0,0,0
151,1,0,0,0
152,1,0,0,0
153,1,0,0,0
154,1,0,0,0
155,1,0,0,0
156,1,0,0,0
157,1,0,0,0
158,1,0,0,0
159,1,0,0,0
160,1,0,0,0
161,1,0,0,0
162,1,0,0,0
163,1,0,0,0
164,1,0,0,0
165,1,0,0,0
166,1,0,0,0
167,1,0,0,0
168,1,0,0,0
169,1,0,0,0
170,1,0,0,0
171,1,0,0,0
172,1,0,0,0
173,1,0,0,0
174,1,0,0,0
175,1,0,0,0
176,1,0,0,0
177,1,0,0,0
178,1,0,0,0
179,1,0,0,0
180,1,0,0,0
181,1,0,0,0
182,1,0,0,0
183,1,0,0,0
184,1,0,0,0
185,1,0,0,0
186,1,0,0,0
187,1,0,0,0
188,1,0,0,0
189,1,0,0,0
190,1,0,0,0
191,1,0,0,0
192,1,0,0,0
193,1,0,0,0
194,1,0,0,0
195,1,0,0,0
196,1,0,0,0
197,1,0,0,0
198,1,0,0,0
199,1,0,0,50
200,1,0,0,50
201,1,0,0,50
202,1,0,0,50
203,1,0,0,50
204,1,0,0,0
205,1,0,0,0
206,1,0,0,0
207,1,0,0,0
208,1,0,0,0
209,1,0,0,50
210,1,0,0,50
211,1,0,0,50
212,1,0,0,50
213,1,0,0,50
214,1,0,0,50
215,1,0,0,50
216,1,0,0,50
217,1,0,0,50
218,1,0,0,50
219,1,0,0,50
220,1,0,0,50
221,1,0,0,50
222,1,0,0,50
223,1,0,0,50
224,1,0,0,50
225,1,0,0,50
226,1,0,0,50
227,1,0,0,50
228,1,0,0,50
229,1,0,0,50
230,1,0,0,50
231,1,0,0,50
232,1,0,0,50
233,1,0,0,50
234,1,0,0,50
235,1,0,0,50
236,1,0,0,50
237,1,0,0,50
238,1,0,0,50
239,1,0,0,50
240,1,0,0,50
241,1,0,0,50
242,1,0,0,50
243,1,0,0,50
244,1,0,0,50
245,1,0,0,50
246,1,0,0,50
247,1,0,0,50
248,1,0,0,50
249,1,0,0,50
250,1,0,0,50
251,1,0,0,50
252,1,0,0,50
253,1,0,0,50
254,1,0,0,50
255,1,0,0,50
256,1,0,0,50
257,1,0,0,50
258,1,0,0,50
259,1,0,0,0
260,1,0,0,0
261,1,0,0,0
262,1,0,0,0
263,1,0,0,0
264,1,0,0,0
265,1,0,0,0
266,1,0,0,0
267,1,0,0,0
268,1,0,0,0
269,1,0,0.5,50
270,1,0,0.5,50
271,1,0,0.5,50
272,1,0,0.5,50
273,1,0,0.5,50
274,1,0,0,0
275,1,0,0,0
276,1,0,0,0
277,1,0,0,0
278,1,0,0,0
279,1,0,0,0
280,1,0,0,0
281,1,0,0,0
282,1,0,0,0
283,1,0,0,0
284,1,0,0.5,0
285,1,0,0.5,0
286,1,0,0.5,0
287,1,0,0.5,0
288,1,0,0.5,0
289,1,0,0.5,0
290,1,0,0.5,0
291,1,0,0.5,0
292,1,0,0.5,0
293,1,0,0.5,0
294,1,0,0,0
295,1,0,0,0
