Switchingtimes,FinalTime,IPTGpre,aTcpre,IPTG,aTc
0,896.333333333333,0.25,20,0.25,20
150,896.333333333333,0.25,20,0,50
165,896.333333333333,0.25,20,0.5,0
240,896.333333333333,0.25,20,0,50
255,896.333333333333,0.25,20,0.5,0
330,896.333333333333,0.25,20,0,50
345,896.333333333333,0.25,20,0.5,0
420,896.333333333333,0.25,20,0,50
435,896.333333333333,0.25,20,0.5,0
510,896.333333333333,0.25,20,0,50
525,896.333333333333,0.25,20,0.5,0
600,896.333333333333,0.25,20,0,50
615,896.333333333333,0.25,20,0.5,0
690,896.333333333333,0.25,20,0,50
705,896.333333333333,0.25,20,0.5,0
780,896.333333333333,0.25,20,0,50
795,896.333333333333,0.25,20,0.5,0
870,896.333333333333,0.25,20,0,50
885,896.333333333333,0.25,20,0.5,0
