time,IPTGpre,aTcpre,IPTG,aTc
0,0.25,20,0.25,20
1,0.25,20,0.25,20
2,0.25,20,0.25,20
3,0.25,20,0.25,20
4,0.25,20,0.25,20
5,0.25,20,0.25,20
6,0.25,20,0.25,20
7,0.25,20,0.25,20
8,0.25,20,0.25,20
9,0.25,20,0.25,20
10,0.25,20,0.25,20
11,0.25,20,0.25,20
12,0.25,20,0.25,20
13,0.25,20,0.25,20
14,0.25,20,0.25,20
15,0.25,20,0.25,20
16,0.25,20,0.25,20
17,0.25,20,0.25,20
18,0.25,20,0.25,20
19,0.25,20,0.25,20
20,0.25,20,0.25,20
21,0.25,20,0.25,20
22,0.25,20,0.25,20
23,0.25,20,0.25,20
24,0.25,20,0.25,20
25,0.25,20,0.25,20
26,0.25,20,0.25,20
27,0.25,20,0.25,20
28,0.25,20,0.25,20
29,0.25,20,0.25,20
30,0.25,20,0.25,20
31,0.25,20,0.25,20
32,0.25,20,0.25,20
33,0.25,20,0.25,20
34,0.25,20,0.25,20
35,0.25,20,0.25,20
36,0.25,20,0.25,20
37,0.25,20,0.25,20
38,0.25,20,0.25,20
39,0.25,20,0.25,20
40,0.25,20,0.25,20
41,0.25,20,0.25,20
42,0.25,20,0.25,20
43,0.25,20,0.25,20
44,0.25,20,0.25,20
45,0.25,20,0.25,20
46,0.25,20,0.25,20
47,0.25,20,0.25,20
48,0.25,20,0.25,20
49,0.25,20,0.25,20
50,0.25,20,0.25,20
51,0.25,20,0.25,20
52,0.25,20,0.25,20
53,0.25,20,0.25,20
54,0.25,20,0.25,20
55,0.25,20,0.25,20
56,0.25,20,0.25,20
57,0.25,20,0.25,20
58,0.25,20,0.25,20
59,0.25,20,0.25,20
60,0.25,20,0.25,20
61,0.25,20,0.25,20
62,0.25,20,0.25,20
63,0.25,20,0.25,20
64,0.25,20,0.25,20
65,0.25,20,0.25,20
66,0.25,20,0.25,20
67,0.25,20,0.25,20
68,0.25,20,0.25,20
69,0.25,20,0.25,20
70,0.25,20,0.25,20
71,0.25,20,0.25,20
72,0.25,20,0.25,20
73,0.25,20,0.25,20
74,0.25,20,0.25,20
75,0.25,20,0.25,20
76,0.25,20,0.25,20
77,0.25,20,0.25,20
78,0.25,20,0.25,20
79,0.25,20,0.25,20
80,0.25,20,0.25,20
81,0.25,20,0.25,20
82,0.25,20,0.25,20
83,0.25,20,0.25,20
84,0.25,20,0.25,20
85,0.25,20,0.25,20
86,0.25,20,0.25,20
87,0.25,20,0.25,20
88,0.25,20,0.25,20
89,0.25,20,0.25,20
90,0.25,20,0.25,20
91,0.25,20,0.25,20
92,0.25,20,0.25,20
93,0.25,20,0.25,20
94,0.25,20,0.25,20
95,0.25,20,0.25,20
96,0.25,20,0.25,20
97,0.25,20,0.25,20
98,0.25,20,0.25,20
99,0.25,20,0.25,20
100,0.25,20,0.25,20
101,0.25,20,0.25,20
102,0.25,20,0.25,20
103,0.25,20,0.25,20
104,0.25,20,0.25,20
105,0.25,20,0.25,20
106,0.25,20,0.25,20
107,0.25,20,0.25,20
108,0.25,20,0.25,20
109,0.25,20,0.25,20
110,0.25,20,0.25,20
111,0.25,20,0.25,20
112,0.25,20,0.25,20
113,0.25,20,0.25,20
114,0.25,20,0.25,20
115,0.25,20,0.25,20
116,0.25,20,0.25,20
117,0.25,20,0.25,20
118,0.25,20,0.25,20
119,0.25,20,0.25,20
120,0.25,20,0.25,20
121,0.25,20,0.25,20
122,0.25,20,0.25,20
123,0.25,20,0.25,20
124,0.25,20,0.25,20
125,0.25,20,0.25,20
126,0.25,20,0.25,20
127,0.25,20,0.25,20
128,0.25,20,0.25,20
129,0.25,20,0.25,20
130,0.25,20,0.25,20
