Switchingtimes,FinalTime,IPTGpre,aTcpre,IPTG,aTc
0,1200.06666666667,1,0,1,0
150.586666666667,1200.06666666667,1,0,0,50
180.583333333333,1200.06666666667,1,0,1,0
330.583333333333,1200.06666666667,1,0,0,50
360.583333333333,1200.06666666667,1,0,1,0
510.583333333333,1200.06666666667,1,0,0,50
540.583333333333,1200.06666666667,1,0,1,0
690.583333333333,1200.06666666667,1,0,0,50
720.583333333333,1200.06666666667,1,0,1,0
870.583333333333,1200.06666666667,1,0,0,50
900.583333333333,1200.06666666667,1,0,0.25,20
