time,IPTGpre,aTcpre,IPTG,aTc
0,1,0,0.5,0
1,1,0,0.5,0
2,1,0,0.5,0
3,1,0,0.5,0
4,1,0,0.5,0
5,1,0,0.5,0
6,1,0,0.5,0
7,1,0,0.5,0
8,1,0,0.5,0
9,1,0,0.5,0
10,1,0,0.5,0
11,1,0,0.5,0
12,1,0,0.5,0
13,1,0,0.5,0
14,1,0,0.5,0
15,1,0,0.5,0
16,1,0,0.5,0
17,1,0,0.5,0
18,1,0,0.5,0
19,1,0,0.5,0
20,1,0,0.5,0
21,1,0,0.5,0
22,1,0,0.5,0
23,1,0,0.5,0
24,1,0,0.5,0
25,1,0,0.5,0
26,1,0,0.5,0
27,1,0,0.5,0
28,1,0,0.5,0
29,1,0,0.5,0
30,1,0,0.5,0
31,1,0,0.5,0
32,1,0,0.5,0
33,1,0,0.5,0
34,1,0,0.5,0
35,1,0,0.5,0
36,1,0,0.5,0
37,1,0,0.5,0
38,1,0,0.5,0
39,1,0,0.5,0
40,1,0,0.5,0
41,1,0,0.5,0
42,1,0,0.5,0
43,1,0,0.5,0
44,1,0,0.5,0
45,1,0,0.5,0
46,1,0,0.5,0
47,1,0,0.5,0
48,1,0,0.5,0
49,1,0,0.5,0
50,1,0,0.5,0
51,1,0,0.5,0
52,1,0,0.5,0
53,1,0,0.5,0
54,1,0,0.5,0
55,1,0,0.5,0
56,1,0,0.5,0
57,1,0,0.5,0
58,1,0,0.5,0
59,1,0,0.5,0
60,1,0,0.5,0
61,1,0,0.5,0
62,1,0,0.5,0
63,1,0,0.5,0
64,1,0,0.5,0
65,1,0,0.5,0
66,1,0,0.5,0
67,1,0,0.5,0
68,1,0,0.5,0
69,1,0,0.5,0
70,1,0,0.5,0
71,1,0,0.5,0
72,1,0,0.5,0
73,1,0,0.5,0
74,1,0,0.5,0
75,1,0,0.5,0
76,1,0,0.5,0
77,1,0,0.5,0
78,1,0,0.5,0
79,1,0,0.5,0
80,1,0,0.5,0
81,1,0,0.5,0
82,1,0,0.5,0
83,1,0,0.5,0
84,1,0,0.5,0
85,1,0,0.5,0
86,1,0,0.5,0
87,1,0,0,50
88,1,0,0,50
89,1,0,0,50
90,1,0,0,50
91,1,0,0,50
92,1,0,0,50
93,1,0,0,50
94,1,0,0,50
95,1,0,0,50
96,1,0,0,50
97,1,0,0,50
98,1,0,0,50
99,1,0,0,50
100,1,0,0,50
101,1,0,0,50
102,1,0,0,50
103,1,0,0,50
104,1,0,0,50
105,1,0,0,50
106,1,0,0,50
107,1,0,0,50
108,1,0,0,50
109,1,0,0,50
110,1,0,0,50
111,1,0,0,50
112,1,0,0,50
113,1,0,0,50
114,1,0,0,50
115,1,0,0,50
116,1,0,0,50
117,1,0,0.5,0
118,1,0,0.5,0
119,1,0,0.5,0
120,1,0,0.5,0
121,1,0,0.5,0
122,1,0,0.5,0
123,1,0,0.5,0
124,1,0,0.5,0
125,1,0,0.5,0
126,1,0,0.5,0
127,1,0,0.5,0
128,1,0,0.5,0
129,1,0,0.5,0
130,1,0,0.5,0
131,1,0,0.5,0
132,1,0,0.5,0
133,1,0,0.5,0
134,1,0,0.5,0
135,1,0,0.5,0
136,1,0,0.5,0
137,1,0,0.5,0
138,1,0,0.5,0
139,1,0,0.5,0
140,1,0,0.5,0
141,1,0,0.5,0
142,1,0,0.5,0
143,1,0,0.5,0
144,1,0,0.5,0
145,1,0,0.5,0
146,1,0,0.5,0
147,1,0,0.5,0
148,1,0,0.5,0
149,1,0,0.5,0
150,1,0,0.5,0
151,1,0,0.5,0
152,1,0,0.5,0
153,1,0,0.5,0
154,1,0,0.5,0
155,1,0,0.5,0
156,1,0,0.5,0
157,1,0,0.5,0
158,1,0,0.5,0
159,1,0,0.5,0
160,1,0,0.5,0
161,1,0,0.5,0
162,1,0,0.5,0
163,1,0,0.5,0
164,1,0,0.5,0
165,1,0,0.5,0
166,1,0,0.5,0
167,1,0,0.5,0
168,1,0,0.5,0
169,1,0,0.5,0
170,1,0,0.5,0
171,1,0,0.5,0
172,1,0,0.5,0
173,1,0,0.5,0
174,1,0,0.5,0
175,1,0,0.5,0
176,1,0,0.5,0
177,1,0,0.5,0
178,1,0,0.5,0
179,1,0,0.5,0
180,1,0,0.5,0
181,1,0,0.5,0
182,1,0,0.5,0
183,1,0,0.5,0
184,1,0,0.5,0
185,1,0,0.5,0
186,1,0,0.5,0
187,1,0,0.5,0
188,1,0,0.5,0
189,1,0,0.5,0
190,1,0,0.5,0
191,1,0,0.5,0
192,1,0,0.5,0
193,1,0,0.5,0
194,1,0,0.5,0
195,1,0,0.5,0
196,1,0,0.5,0
197,1,0,0.5,0
198,1,0,0.5,0
199,1,0,0.5,0
200,1,0,0.5,0
201,1,0,0.5,0
202,1,0,0.5,0
203,1,0,0.5,0
204,1,0,0.5,0
205,1,0,0.5,0
206,1,0,0.5,0
207,1,0,0,50
208,1,0,0,50
209,1,0,0,50
210,1,0,0,50
211,1,0,0,50
212,1,0,0,50
213,1,0,0,50
214,1,0,0,50
215,1,0,0,50
216,1,0,0,50
217,1,0,0,50
218,1,0,0,50
219,1,0,0,50
220,1,0,0,50
221,1,0,0,50
222,1,0,0,50
223,1,0,0,50
224,1,0,0,50
225,1,0,0,50
226,1,0,0,50
227,1,0,0,50
228,1,0,0,50
229,1,0,0,50
230,1,0,0,50
231,1,0,0,50
232,1,0,0,50
233,1,0,0,50
234,1,0,0,50
235,1,0,0,50
236,1,0,0,50
237,1,0,0.5,0
238,1,0,0.5,0
239,1,0,0.5,0
240,1,0,0.5,0
241,1,0,0.5,0
242,1,0,0.5,0
243,1,0,0.5,0
244,1,0,0.5,0
245,1,0,0.5,0
246,1,0,0.5,0
247,1,0,0.5,0
248,1,0,0.5,0
249,1,0,0.5,0
250,1,0,0.5,0
251,1,0,0.5,0
252,1,0,0.5,0
253,1,0,0.5,0
254,1,0,0.5,0
255,1,0,0.5,0
256,1,0,0.5,0
257,1,0,0.5,0
258,1,0,0.5,0
259,1,0,0.5,0
