time,IPTGpre,aTcpre,IPTG,aTc
0,1,0,0.03,50
1,1,0,0.03,50
2,1,0,0.03,50
3,1,0,0.03,50
4,1,0,0.05,50
5,1,0,0.05,50
6,1,0,0.05,50
7,1,0,0.05,50
8,1,0,0.05,50
9,1,0,0.04,50
10,1,0,0.04,50
11,1,0,0.04,50
12,1,0,0.04,50
13,1,0,0.04,50
14,1,0,0,50
15,1,0,0,50
16,1,0,0,50
17,1,0,0,50
18,1,0,0,50
19,1,0,0.03,50
20,1,0,0.03,50
21,1,0,0.03,50
22,1,0,0.03,50
23,1,0,0.03,50
24,1,0,0,50
25,1,0,0,50
26,1,0,0,50
27,1,0,0,50
28,1,0,0,50
29,1,0,0.08,50
30,1,0,0.08,50
31,1,0,0.08,50
32,1,0,0.08,50
33,1,0,0.08,50
34,1,0,0.06,50
35,1,0,0.06,50
36,1,0,0.06,50
37,1,0,0.06,50
38,1,0,0.06,50
39,1,0,0.03,50
40,1,0,0.03,50
41,1,0,0.03,50
42,1,0,0.03,50
43,1,0,0.03,50
44,1,0,0.15,50
45,1,0,0.15,50
46,1,0,0.15,50
47,1,0,0.15,50
48,1,0,0.15,50
49,1,0,0.08,50
50,1,0,0.08,50
51,1,0,0.08,50
52,1,0,0.08,50
53,1,0,0.08,50
54,1,0,0.2,50
55,1,0,0.2,50
56,1,0,0.2,50
57,1,0,0.2,50
58,1,0,0.2,50
59,1,0,0.12,50
60,1,0,0.12,50
61,1,0,0.12,50
62,1,0,0.12,50
63,1,0,0.12,50
64,1,0,0.15,50
65,1,0,0.15,50
66,1,0,0.15,50
67,1,0,0.15,50
68,1,0,0.15,50
69,1,0,0.15,50
70,1,0,0.15,50
71,1,0,0.15,50
72,1,0,0.15,50
73,1,0,0.15,50
74,1,0,0.2,49
75,1,0,0.2,49
76,1,0,0.2,49
77,1,0,0.2,49
78,1,0,0.2,49
79,1,0,0.24,46
80,1,0,0.24,46
81,1,0,0.24,46
82,1,0,0.24,46
83,1,0,0.24,46
84,1,0,0.23,44
85,1,0,0.23,44
86,1,0,0.23,44
87,1,0,0.23,44
88,1,0,0.23,44
89,1,0,0.24,42
90,1,0,0.24,42
91,1,0,0.24,42
92,1,0,0.24,42
93,1,0,0.24,42
94,1,0,0.22,35
95,1,0,0.22,35
96,1,0,0.22,35
97,1,0,0.22,35
98,1,0,0.22,35
99,1,0,0.25,31
100,1,0,0.25,31
101,1,0,0.25,31
102,1,0,0.25,31
103,1,0,0.25,31
104,1,0,0.26,33
105,1,0,0.26,33
106,1,0,0.26,33
107,1,0,0.26,33
108,1,0,0.26,33
109,1,0,0.26,27
110,1,0,0.26,27
111,1,0,0.26,27
112,1,0,0.26,27
113,1,0,0.26,27
114,1,0,0.27,20
115,1,0,0.27,20
116,1,0,0.27,20
117,1,0,0.27,20
118,1,0,0.27,20
119,1,0,0.28,27
120,1,0,0.28,27
121,1,0,0.28,27
122,1,0,0.28,27
123,1,0,0.28,27
124,1,0,0.33,50
