"2.5CI","Median","97.5CI"
"1",1513.31545358486,1645.46234862334,1785.7338413092
"2",1513.28696008709,1645.42639500036,1785.67770336902
"3",1513.19812424848,1645.31384237288,1785.50464887802
"4",1513.04767479398,1645.1252124601,1785.27311344944
"5",1512.83568397064,1644.82921646008,1784.95537339447
"6",1512.56275763342,1644.51339225945,1784.54768186158
"7",1512.22980262192,1644.13250541414,1784.10776666307
"8",1511.83791853985,1643.65144557748,1783.56992755742
"9",1511.38833660439,1643.10560363492,1782.91530903234
"10",1510.82343387415,1642.4955594871,1782.18065032952
"11",1510.21348570327,1641.80658230322,1781.36826420211
"12",1509.62651505713,1641.09690044466,1780.51543986071
"13",1508.99291284101,1640.31253423508,1779.68256537825
"14",1508.31368265733,1639.48187711348,1778.5459816687
"15",1507.58641996167,1638.58536556177,1777.43880971186
"16",1506.81201456723,1637.58309864081,1776.49722522226
"17",1505.99450888014,1636.47533278538,1775.50162646276
"18",1505.0819104564,1635.37752844817,1774.45201392161
"19",1504.06837144638,1634.28617640276,1772.97491741222
"20",1503.216037503,1633.12253991725,1771.7279014105
"21",1502.19839614975,1631.97672656831,1770.41508539106
"22",1501.08144947764,1630.7291574544,1768.91270677947
"23",1499.92728948722,1629.39356731571,1767.35618305825
"24",1498.77862959355,1628.02233515219,1765.64087314946
"25",1497.69240007706,1626.61715217721,1763.92854651201
"26",1496.59960872707,1625.1709469806,1762.28056878001
"27",1495.48958232508,1623.71815006076,1760.62593410243
"28",1494.28301298454,1622.33602886312,1758.93059922956
"29",1493.18972595675,1620.8291443276,1757.13231488631
"30",1491.86244781482,1619.22198819265,1755.29212940433
"31",1490.61846349707,1617.78025667052,1753.24514620354
"32",1489.44116128643,1616.18568961078,1751.32616669043
"33",1488.14981919733,1614.60905471275,1749.48783621037
"34",1486.82332015526,1612.87851168313,1747.33171244565
"35",1485.24299558143,1611.22202839101,1745.14865295182
"36",1483.88093741247,1609.43872597579,1742.99806731636
"37",1482.48458567345,1607.71779114584,1741.20615125192
"38",1480.9922641884,1606.02086229482,1739.39370506637
"39",1479.43291876947,1604.25084608357,1737.53448026729
"40",1478.03246496269,1602.44754976377,1735.39811431025
"41",1476.62075736357,1600.61631802653,1733.25433173619
"42",1475.19261397327,1598.85118791385,1731.25064277215
"43",1473.75277526338,1597.09935300272,1728.90123301861
"44",1472.10542916064,1595.29423771342,1726.49746616208
"45",1470.42750889864,1593.40912186569,1724.15296301951
"46",1468.85270320418,1591.498118,1721.88943303276
"47",1467.26736670652,1589.68527380218,1719.87216705826
"48",1465.55657316077,1587.75717919222,1717.84868124429
"49",1463.74922010499,1585.90603927046,1715.47569895041
"50",1462.36649576459,1583.97030451672,1713.0419878984
"51",1460.5837911084,1581.99972457181,1710.74645513859
"52",1459.08519913586,1580.12438707911,1708.42749430176
